                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 3.0086,                 2.8988,                  2.786,                0.60021,                0.10417,                0.05031,                0.01212,                 3.1725,                 3.3745,                  3.031,              0.0010334,              0.0010334,              0.0010334
                     37,                 2.9359,                 2.8554,                 2.7185,                0.63082,                 0.0995,                0.09087,                0.02451,                 3.2053,                 3.7461,                 2.8556,              0.0010273,              0.0010273,              0.0010273
                     38,                 2.9683,                 2.8298,                 2.7826,                0.00991,                0.29167,                0.02211,                0.00495,                 3.1959,                 4.5868,                 2.8328,              0.0010211,              0.0010211,              0.0010211
                     39,                 2.9632,                 2.8828,                 2.7128,                0.00114,                0.10417,                 0.0011,                0.00067,                 3.7046,                 5.6924,                 3.3296,              0.0010149,              0.0010149,              0.0010149
                     40,                 2.9148,                 2.7691,                 2.6429,                0.00082,                0.08333,                0.00066,                 0.0001,                 3.9815,                 7.9532,                 3.5665,              0.0010087,              0.0010087,              0.0010087
                     41,                 2.9686,                 2.8304,                 2.7145,                0.00798,                 0.0625,                0.00483,                0.00098,                  3.777,                  7.389,                 3.2005,              0.0010025,              0.0010025,              0.0010025
                     42,                 2.8086,                 2.6191,                 2.5947,                0.00437,                0.10417,                0.00379,                0.00099,                 3.5083,                  5.229,                 3.0932,             0.00099631,             0.00099631,             0.00099631
                     43,                 2.9259,                 2.7398,                 2.7196,                0.51178,                0.04167,                0.00696,                0.00152,                  3.388,                 5.3705,                 3.0035,             0.00099013,             0.00099013,             0.00099013
                     44,                 2.8934,                 2.5593,                 2.5582,                0.76857,                0.04167,                0.01776,                0.00394,                 3.1291,                 6.2163,                 2.6265,             0.00098394,             0.00098394,             0.00098394
                     45,                  2.823,                 2.7293,                 2.5862,                0.29014,                 0.0625,                0.03625,                0.01375,                 3.1718,                  4.746,                   2.78,             0.00097775,             0.00097775,             0.00097775
                     46,                 2.9523,                 2.5567,                 2.6049,                0.33262,                 0.0625,                0.05812,                0.02062,                 3.1918,                 5.3263,                  2.823,             0.00097156,             0.00097156,             0.00097156
                     47,                 2.7399,                 2.5084,                 2.5279,                0.88425,                0.04167,                0.09502,                0.02702,                  3.141,                 5.5318,                 2.6469,             0.00096537,             0.00096537,             0.00096537
                     48,                 2.7144,                 2.5834,                 2.4725,                 0.7912,                0.08333,                0.03976,                0.01137,                 3.0262,                 4.3985,                 2.6038,             0.00095919,             0.00095919,             0.00095919
                     49,                 2.6427,                 2.3753,                 2.4715,                 0.2973,                   0.25,                0.06648,                0.01684,                 3.1292,                 4.1751,                 2.6558,               0.000953,               0.000953,               0.000953
                     50,                 2.6122,                 2.4702,                 2.4556,                0.85681,                0.14583,                0.13151,                0.04889,                 3.0607,                 3.2596,                 2.6658,             0.00094681,             0.00094681,             0.00094681
                     51,                 2.6115,                 2.3784,                 2.4696,                0.90543,                0.14583,                0.13756,                 0.0633,                 3.0989,                 3.3015,                 2.6621,             0.00094062,             0.00094062,             0.00094062
                     52,                 2.5508,                 2.2995,                 2.4154,                0.39446,                0.20833,                0.18508,                0.08959,                 2.9818,                 2.8551,                 2.6613,             0.00093444,             0.00093444,             0.00093444
                     53,                 2.5062,                 2.4024,                 2.3356,                0.50555,                0.22917,                0.18296,                0.09162,                 3.0105,                 2.7454,                 2.6832,             0.00092825,             0.00092825,             0.00092825
                     54,                 2.6608,                 2.5657,                  2.489,                0.72981,                   0.25,                0.24421,                0.12124,                 2.8645,                  2.476,                 2.5716,             0.00092206,             0.00092206,             0.00092206
                     55,                 2.4652,                 2.2995,                  2.418,                0.29831,                   0.25,                0.24345,                0.08515,                 3.0676,                  2.493,                 2.6178,             0.00091588,             0.00091588,             0.00091588
                     56,                 2.5457,                 2.2913,                 2.4153,                0.91921,                 0.1875,                0.25682,                0.10904,                 2.9465,                 2.6774,                 2.5547,             0.00090969,             0.00090969,             0.00090969
                     57,                 2.5016,                 2.3137,                 2.3537,                0.39434,                0.29167,                0.26536,                0.10106,                 2.9434,                 2.4602,                 2.4841,              0.0009035,              0.0009035,              0.0009035
                     58,                 2.3971,                 2.2547,                 2.3145,                0.41491,                0.31132,                0.27316,                0.11945,                 2.9775,                 2.3194,                  2.538,             0.00089731,             0.00089731,             0.00089731
                     59,                 2.4353,                  2.254,                 2.3681,                0.53408,                0.22917,                0.28849,                0.12478,                 3.0203,                 2.3539,                 2.6013,             0.00089112,             0.00089112,             0.00089112
