                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1608,                0.92808,                 1.2038,                0.43471,                0.39408,                0.36649,                0.20782,                 1.7429,                 2.9155,                 1.9486,              0.0010396,              0.0010396,              0.0010396
                     36,                 1.0978,                0.87692,                  1.183,                0.37221,                0.33141,                0.29082,                0.15904,                 1.9491,                  4.308,                 2.1343,              0.0010334,              0.0010334,              0.0010334
                     37,                 1.0356,                0.87542,                 1.1784,                0.39621,                0.59819,                0.41071,                0.18482,                  1.809,                 3.7384,                 2.0686,              0.0010273,              0.0010273,              0.0010273
                     38,                 1.0315,                0.81524,                 1.1258,                0.29756,                0.65294,                0.38212,                0.15929,                 1.8724,                 5.6058,                 2.2219,              0.0010211,              0.0010211,              0.0010211
                     39,                 1.1295,                0.91353,                 1.1977,                0.44517,                0.40556,                0.45978,                0.21405,                 1.8266,                 3.3482,                  2.201,              0.0010149,              0.0010149,              0.0010149
                     40,                 1.0932,                0.81656,                 1.1463,                0.86971,                0.50558,                0.62834,                0.37787,                 1.4453,                 1.8156,                 1.6606,              0.0010087,              0.0010087,              0.0010087
                     41,                 1.0972,                 0.8377,                 1.1784,                0.63628,                0.71498,                0.67773,                0.39799,                 1.5265,                 1.6054,                 1.6684,              0.0010025,              0.0010025,              0.0010025
                     42,                 1.0162,                0.81722,                 1.1283,                0.90049,                0.61925,                0.72661,                0.42314,                 1.4983,                 1.3646,                 1.5887,             0.00099631,             0.00099631,             0.00099631
                     43,                 1.0377,                0.80232,                  1.172,                0.89004,                0.51575,                0.68647,                0.40906,                 1.5821,                 1.4625,                 1.6748,             0.00099013,             0.00099013,             0.00099013
                     44,                 1.0969,                0.77329,                 1.1296,                0.64908,                0.58232,                0.55927,                0.30186,                  1.741,                  1.705,                 1.8303,             0.00098394,             0.00098394,             0.00098394
                     45,                  1.118,                0.83719,                  1.197,                0.62887,                0.72722,                0.67842,                0.39318,                  1.599,                  1.475,                  1.647,             0.00097775,             0.00097775,             0.00097775
                     46,                 1.0039,                0.75817,                 1.1497,                0.67682,                0.67866,                0.79935,                0.46527,                 1.4165,                 1.4119,                 1.6006,             0.00097156,             0.00097156,             0.00097156
                     47,                0.97986,                0.76575,                 1.1367,                   0.82,                0.80396,                0.92791,                0.57682,                 1.3068,                0.96997,                 1.4874,             0.00096537,             0.00096537,             0.00096537
                     48,                0.98766,                0.78818,                 1.1349,                0.86963,                0.85036,                0.91494,                0.59647,                 1.3324,                0.88716,                 1.4732,             0.00095919,             0.00095919,             0.00095919
                     49,                0.98387,                0.74183,                 1.0792,                 0.8596,                0.80726,                0.87892,                0.56531,                 1.3075,                 0.9751,                 1.4611,               0.000953,               0.000953,               0.000953
